Предмет;Программа
Портфолио: аналитика данных и прикладная статистика;Аналитика данных и прикладная статистика
Портфолио: бэкенд-разработка и архитектура программных систем;Бэкенд-разработка и архитектура программных систем
Портфолио: инвестиции на финансовых рынках;Инвестиции на финансовых рынках
Портфолио: интерактивный дизайн;Интерактивный дизайн
Портфолио: информационная безопасность систем искусственного интеллекта;Информационная безопасность систем искусственного интеллекта
Академическое портфолио: искусственный интеллект;Искусственный интеллект
Портфолио: искусственный интеллект;Искусственный интеллект
Академическое портфолио: искусственный интеллект в маркетинге и управлении продуктом;Искусственный интеллект в маркетинге и управлении продуктом
Портфолио: искусственный интеллект в маркетинге и управлении продуктом;Искусственный интеллект в маркетинге и управлении продуктом
Портфолио: ИТ - юрист;ИТ - юрист
Академическое портфолио: кибербезопасность;Кибербезопасность
Портфолио: кибербезопасность;Кибербезопасность
Портфолио: китайский язык в межкультурной бизнес-коммуникации;Китайский язык в межкультурной бизнес-коммуникации
Портфолио: ЛигалТех;ЛигалТех
Портфолио: магистр аналитики бизнеса;Магистр аналитики бизнеса
Портфолио: маркетинг - менеджмент;Маркетинг - менеджмент
Академическое портфолио: международный бизнес;Международный бизнес
Портфолио: международный бизнес;Международный бизнес
Портфолио: педагогический дизайн;Педагогический дизайн: теория и практика обучения
Портфолио: прикладная лингвистика: обучение иностранному языку и перевод в цифровой среде;Прикладная лингвистика: обучение иностранному языку и перевод в цифровой среде
Академическое портфолио: прикладная социальная психология;Прикладная социальная психология
Портфолио: прикладная социальная психология;Прикладная социальная психология
Портфолио: прикладные нейросетевые технологии;Прикладные нейросетевые технологии
Академическое портфолио: продуктовый маркетинг и аналитика;Продуктовый маркетинг и аналитика
Портфолио: продуктовый маркетинг и аналитика;Продуктовый маркетинг и аналитика
Портфолио: психоанализ и психоаналитическая психотерапия;Психоанализ и психоаналитическая психотерапия
Портфолио: психоанализ и психоаналитическое бизнес-консультирование;Психоанализ и психоаналитическое бизнес-консультирование
Академическое портфолио: психологическое консультирование;Психологическое консультирование
Портфолио: управление инновационным бизнесом;Управление инновационным бизнесом
Портфолио: управление организациями и проектами;Управление организациями и проектами
Портфолио: управление стратегическими коммуникациями;Управление стратегическими коммуникациями
Портфолио: управление финансами компании;Управление финансами компании
Академическое портфолио: управление цифровым продуктом;Управление цифровым продуктом
Портфолио: управление цифровым продуктом;Управление цифровым продуктом
Портфолио: финансы в банковской сфере;Финансы
Портфолио: цифровая инженерия для компьютерных игр;Цифровая инженерия для компьютерных игр
Портфолио: цифровая урбанистика и аналитика города;Цифровая урбанистика и аналитика города
Портфолио: цифровой маркетинг;Цифровой маркетинг
Портфолио: экономический анализ;Экономический анализ
Математика, программирование и основы аналитики: (аналитика больших данных);Аналитика больших данных
Портфолио: биоинформатика в агробиотехнологиях;Биоинформатика в агробиотехнологиях
Математика и информатика: искусственный интеллект и компьютерное зрение;Искусственный интеллект и компьютерное зрение
Проектирование и разработка высоконагруженных информационных систем;Проектирование и разработка высоконагруженных информационных систем
Портфолио: управление в креативных индустриях;Управление в креативных индустриях
Портфолио: управление правовыми рисками в бизнесе;Управление правовыми рисками в бизнесе
Портфолио: инженерия данных;Инженерия данных
